Time,Ch0_Avg,Ch1_Avg,Ch2_Avg,Ch3_Avg
199,29341.644214,29891.900512,29512.490801999997,28651.477405999998
200,29340.701905555557,29891.083634444447,29513.35962666667,28651.951754444442
201,29340.642900000003,29888.142614444445,29512.31426375,28651.061295555555
202,29344.276759999997,29889.771478888888,29515.51382333333,28652.799427777776
203,29344.83083666667,29895.09234,29519.09015888889,28656.769674444444
204,29349.47468333333,29905.65887666667,29523.57302111111,28670.810564444444
205,29437.797847499998,29915.87272111111,29683.208266666665,28684.253208888887
206,30135.321585,29931.05769875,30137.7306,28708.8377675
207,30250.5263025,29931.47057875,30220.39820375,28720.43329888889
208,29744.583585555556,29908.639736666668,29848.325764444442,28690.221803333334
209,29343.977174444448,29887.514844999998,29517.33912,28652.68160625
210,29607.283185555556,29920.157873333334,29802.098822222222,28688.68524111111
211,30519.44637555555,29943.46569222222,30576.99751666667,28709.562331111112
212,30740.13544,29948.972684444445,30809.205662222223,28711.245656666666
213,30062.487955555553,29922.510716666668,30180.232359999998,28692.235347777776
214,29341.05477,29884.88212111111,29514.028682222222,28650.7588525
215,29342.173588888887,29885.7575775,29512.25787875,28653.53657875
216,29352.293001111113,30186.690684444446,29747.54187111111,28681.819014444445
217,29367.97095125,31234.7490375,30493.62362125,28702.204945
218,29370.90729444444,31500.677488888887,30713.929702222224,28705.100515555554
219,29369.55504,31460.05568125,30714.282185,28700.520773333334
220,29344.54308888889,29894.84937375,29521.99059375,28653.198138749998
221,29347.621988888888,29910.399204444446,29527.87291375,28671.541347777777
222,29343.74723,29894.6746375,29522.30635375,28651.9956725
223,29351.12176111111,29911.645145555558,29528.55927375,28674.42712111111
224,29341.45964888889,29891.531804444443,29520.660653333336,28651.770255555555
225,29349.32490375,29908.88305666667,29529.175215,28679.186887777778
226,29345.444366249998,29891.178129999997,29523.659539999997,28652.38962
227,29344.862285,29891.139489999998,29522.740436666663,28651.897813333333
228,29345.640676666666,29891.69350375,29521.464085,28652.4132575
229,29348.67006625,29901.01984,29524.092765555557,28662.50064125
230,29720.91216222222,29923.684992222225,29529.147465555554,29152.065006666668
231,30705.626134444443,29956.130561111113,29537.056933333333,30377.588474444445
232,30943.235495,29962.85930888889,29538.794303333336,30646.48146555556
233,29981.846653333334,29923.169056666666,29528.52923111111,29329.071102500002
234,29344.53786625,29892.45686,29522.87164222222,28654.6682275
235,29358.65625,29920.550261111108,29524.96731,28677.26019375
236,29354.98773625,29910.816215,29523.85939375,28668.569521428573
237,29349.7664625,29901.5120325,29524.3693075,28667.74013625
238,29352.586241111116,29952.42733222222,29525.253215555553,28668.116635555558
239,29388.41579625,31511.1039275,29538.24193,29745.3702725
240,29392.42338625,32063.232756666664,29541.653643333335,30228.35873888889
241,29394.17743375,32263.496577500002,29542.3707125,30474.789585
242,29347.95211625,29899.97892375,29522.423196249998,28665.86269625
243,29354.37188125,29926.19815125,29524.85397,28685.114255
244,29359.065506666666,29979.8209125,29524.9339925,28693.65721875
245,29354.79861125,30053.841536666667,29524.28566,28684.32384125
246,29365.19762625,30445.47595625,29528.542559999998,29007.288565
247,29388.22148222222,31853.552026666668,29541.11041333333,30209.953924444446
248,29369.901152222224,30752.78061111111,29532.721033333335,29466.142452222222
249,29358.18065375,29912.069812222224,29524.09318,28683.19494375
250,29652.996921111113,29922.196633333333,29528.585433333337,29144.790823333333

